asset_id,category,repository_area,local_source,relative_path_or_name,size_original,distribution_status,planned_storage,canonical,url,sha256,notes
yunet_screenshots,diagnostic_artifact,output/1.yunet_bbox_diagnostic_celeba_wild_v0_1__all,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/yunet_bbox_diagnostic_celeba_wild_v0_1__all,screenshots/,12.7 MB,LOCAL_ONLY,local archive,no,,,Bulk screenshots excluded from Git; representative YuNet figures remain in the repository.
yunet_bbox_diagnostic_results,diagnostic_table,output/1.yunet_bbox_diagnostic_celeba_wild_v0_1__all,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/yunet_bbox_diagnostic_celeba_wild_v0_1__all,bbox_diagnostic_results.csv,45.1 MB,LOCAL_ONLY,local archive,no,,,Large per-image diagnostic table; summary JSON and selected plots are retained in Git.
double_hourglass_best,checkpoint,output/2.double_hourglass_runs,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Colab/double_hourglass_runs,best.pt,75.4 MB,PUBLISH_EXTERNAL,GitHub Release v1.0.0,yes,,bbb6f5e27d5527029081bc2603ffb9d29803442816ea8390e893cb886e57a152,Canonical Double 2-stack Hourglass checkpoint; intended release filename: double_hourglass_2stack_best.pt.
double_hourglass_latest,checkpoint,output/2.double_hourglass_runs,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Colab/double_hourglass_runs,latest.pt,75.4 MB,LOCAL_ONLY,local archive,no,,,Latest training-state checkpoint; not required for the public canonical pipeline.
hourglass_40k_train_images,dataset_images,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,train/images/,1.1 GB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived training images are intentionally absent from Git.
hourglass_40k_val_images,dataset_images,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,val/images/,130.4 MB,NOT_DISTRIBUTED,local dataset / reconstruction,no,,,CelebA-derived validation images are intentionally absent from Git.
hourglass_40k_train_archive,dataset_archive,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,train.tar.gz,1.1 GB,NOT_DISTRIBUTED,local archive / TBD external storage,no,,,Archive of CelebA-derived training images; do not assume public redistribution.
hourglass_40k_val_archive,dataset_archive,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,val.tar.gz,129 MB,NOT_DISTRIBUTED,local archive / TBD external storage,no,,,Archive of CelebA-derived validation images; do not assume public redistribution.
hourglass_40k_full_manifest,dataset_manifest,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,subset_40k_manifest.csv,31.5 MB,LOCAL_ONLY,local archive,no,,,Large full manifest excluded from Git; compact reproducibility documentation should describe how it is regenerated.
hourglass_40k_gdrive_path,legacy_link_file,dataset/2a.hourglass_40k_TVsplit,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA_var/hourglass_subsets_id/hourglass_40k_TVsplit,GDrive.path.txt,587 B,EXCLUDED_LEGACY,local archive,no,,,Legacy path/link helper; superseded by this centralized external-assets manifest.
