identity_id,class_idx
10023,0
10055,1
10057,2
10077,3
10085,4
10089,5
101,6
10113,7
1014,8
10142,9
10158,10
1016,11
1035,12
104,13
1054,14
1090,15
1128,16
1136,17
1156,18
116,19
1161,20
1171,21
12,22
1212,23
1231,24
1291,25
1318,26
1324,27
1339,28
135,29
1361,30
1370,31
1390,32
1446,33
1447,34
145,35
1454,36
146,37
1467,38
1486,39
1493,40
15,41
1520,42
1523,43
1534,44
1558,45
1560,46
1579,47
1587,48
1646,49
1672,50
1673,51
1674,52
1676,53
1698,54
170,55
1713,56
1726,57
176,58
1781,59
180,60
1807,61
1811,62
1840,63
1842,64
1852,65
1886,66
1887,67
1900,68
1936,69
1951,70
1991,71
1993,72
2017,73
2026,74
2033,75
206,76
2066,77
2070,78
2079,79
2097,80
2099,81
2111,82
2113,83
2134,84
2141,85
2146,86
2155,87
2174,88
2180,89
2192,90
2215,91
2225,92
2238,93
2253,94
2259,95
2261,96
2279,97
2295,98
2331,99
2334,100
2348,101
2362,102
2398,103
2429,104
2457,105
2483,106
25,107
2507,108
2520,109
2526,110
2533,111
2550,112
2588,113
2610,114
2619,115
2661,116
2745,117
2790,118
2804,119
2808,120
2814,121
2819,122
2820,123
2836,124
284,125
2840,126
2841,127
2861,128
2864,129
288,130
2888,131
2889,132
2898,133
2910,134
2913,135
292,136
2928,137
2965,138
2970,139
2980,140
2987,141
2991,142
2998,143
301,144
3017,145
3023,146
3027,147
3029,148
3031,149
3035,150
3070,151
3081,152
3092,153
3130,154
3145,155
3161,156
3163,157
3170,158
3181,159
3182,160
3185,161
3190,162
3211,163
3255,164
3302,165
3303,166
3317,167
3318,168
3338,169
3364,170
3386,171
3407,172
343,173
3469,174
348,175
3480,176
3501,177
3508,178
3532,179
3536,180
3546,181
3547,182
3557,183
3568,184
3573,185
3578,186
3586,187
3593,188
3600,189
3605,190
3648,191
3665,192
3698,193
3712,194
3714,195
3753,196
3763,197
3771,198
3779,199
3791,200
3803,201
382,202
385,203
3862,204
3869,205
388,206
3907,207
394,208
395,209
3951,210
397,211
3980,212
3984,213
3989,214
3993,215
4038,216
4044,217
4045,218
4049,219
4076,220
4077,221
410,222
4114,223
4135,224
4153,225
4168,226
4190,227
4204,228
4210,229
422,230
4225,231
4255,232
4265,233
4293,234
4301,235
4306,236
4309,237
4311,238
4314,239
4315,240
4330,241
4341,242
4358,243
4374,244
4387,245
4394,246
4395,247
4407,248
4410,249
4414,250
4423,251
4431,252
4446,253
4450,254
4453,255
4511,256
4521,257
4547,258
4566,259
4580,260
4583,261
4598,262
461,263
4610,264
4618,265
4643,266
466,267
4669,268
4675,269
4697,270
4701,271
4710,272
4715,273
4723,274
4731,275
4740,276
476,277
48,278
480,279
4808,280
4811,281
4819,282
4825,283
4834,284
486,285
4864,286
49,287
4913,288
492,289
4946,290
495,291
4973,292
5027,293
5041,294
5047,295
5084,296
5086,297
5101,298
5113,299
5122,300
5127,301
5132,302
5153,303
5158,304
5169,305
5179,306
5188,307
5189,308
5198,309
5199,310
5202,311
5204,312
5223,313
5224,314
523,315
5239,316
524,317
5242,318
5248,319
5252,320
5263,321
5272,322
5273,323
5276,324
5291,325
5296,326
530,327
5313,328
5342,329
5350,330
5410,331
542,332
5426,333
5431,334
5444,335
5448,336
545,337
5451,338
5458,339
5464,340
547,341
5472,342
55,343
5507,344
5509,345
5511,346
555,347
5563,348
5567,349
5570,350
5594,351
5600,352
5614,353
5635,354
5638,355
5640,356
5648,357
5658,358
5663,359
567,360
5695,361
5696,362
5729,363
5747,364
5750,365
576,366
5781,367
5793,368
5805,369
5809,370
5843,371
5883,372
5888,373
59,374
5910,375
5914,376
5917,377
593,378
5932,379
5941,380
5946,381
596,382
5987,383
6019,384
603,385
6050,386
6054,387
6066,388
6077,389
6083,390
6100,391
6112,392
6128,393
614,394
6161,395
6180,396
6190,397
620,398
6204,399
6225,400
6260,401
627,402
6280,403
6282,404
6327,405
6334,406
6335,407
6352,408
6363,409
6370,410
6399,411
6412,412
6427,413
6452,414
646,415
6470,416
6474,417
6479,418
6494,419
654,420
6575,421
6576,422
6614,423
6621,424
6632,425
6637,426
665,427
6683,428
6703,429
6719,430
6726,431
6735,432
6736,433
6745,434
6746,435
6748,436
6751,437
6789,438
68,439
6806,440
6814,441
6816,442
6845,443
686,444
6936,445
6947,446
6955,447
6973,448
6986,449
6988,450
6990,451
6994,452
6995,453
7007,454
7026,455
7031,456
7072,457
7083,458
7094,459
7122,460
7127,461
7142,462
7143,463
7153,464
7165,465
7167,466
7177,467
7233,468
7239,469
7252,470
7260,471
7264,472
7276,473
7283,474
7296,475
731,476
7337,477
7358,478
7361,479
7383,480
7393,481
7417,482
7418,483
7444,484
745,485
7467,486
7498,487
750,488
7524,489
7554,490
7558,491
7563,492
7586,493
7594,494
7619,495
7624,496
7636,497
7651,498
7690,499
7695,500
7707,501
7726,502
7756,503
7760,504
7774,505
7777,506
7782,507
7783,508
779,509
7795,510
7804,511
7816,512
7820,513
7848,514
7862,515
7869,516
7874,517
7876,518
7904,519
7939,520
7957,521
7962,522
80,523
8016,524
8018,525
8023,526
804,527
8075,528
8098,529
8129,530
8148,531
8166,532
818,533
8199,534
8230,535
8240,536
8245,537
8247,538
8273,539
8280,540
8294,541
8338,542
8341,543
8343,544
8371,545
8385,546
839,547
8399,548
8412,549
8415,550
8426,551
843,552
8432,553
8469,554
8474,555
8478,556
8482,557
849,558
8501,559
8504,560
8518,561
8521,562
8529,563
8547,564
8560,565
8562,566
858,567
8602,568
8611,569
8625,570
8632,571
8639,572
8641,573
8643,574
8644,575
8656,576
8679,577
8692,578
8693,579
8706,580
8707,581
8710,582
8714,583
8721,584
8722,585
876,586
8776,587
8816,588
8831,589
8842,590
8844,591
8853,592
8858,593
8860,594
8875,595
889,596
8909,597
8910,598
8940,599
8947,600
8956,601
8960,602
8967,603
8974,604
8987,605
9011,606
9015,607
9031,608
904,609
9065,610
9067,611
9151,612
9153,613
9155,614
916,615
9177,616
9199,617
9206,618
9211,619
9213,620
9232,621
9240,622
9246,623
944,624
945,625
9463,626
9464,627
9483,628
9529,629
9542,630
9616,631
9646,632
9657,633
9678,634
9690,635
9698,636
9700,637
9712,638
9725,639
9729,640
9741,641
9748,642
9753,643
9755,644
9764,645
9794,646
9796,647
9818,648
9821,649
9827,650
9831,651
9841,652
9854,653
987,654
988,655
9885,656
9902,657
9927,658
993,659
9932,660
9946,661
9979,662
9987,663
999,664
9994,665
