global_face_index,image_name,image_path,face_id,det_score,template_rmse_px,aligned_path
0,030873.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 4/Part 4/030873.jpg,0,0.9253429770469666,6.966624736785889,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00000__030873__face0.jpg
1,030873.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 4/Part 4/030873.jpg,1,0.8474040031433105,13.687600135803223,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00001__030873__face1.jpg
2,044270.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 5/Part 5/044270.jpg,0,0.9369633793830872,6.060787200927734,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00002__044270__face0.jpg
3,089697.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 9/Part 9/089697.jpg,0,0.9438384175300598,2.7048065662384033,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00003__089697__face0.jpg
4,103814.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/103814.jpg,0,0.9294887781143188,5.361806392669678,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00004__103814__face0.jpg
5,020595.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 3/Part 3/020595.jpg,0,0.9557783007621765,7.8039960861206055,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00005__020595__face0.jpg
6,042469.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 5/Part 5/042469.jpg,0,0.9390807747840881,4.024456024169922,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00006__042469__face0.jpg
7,098580.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/098580.jpg,0,0.8830829858779907,5.315113067626953,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00007__098580__face0.jpg
8,098580.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/098580.jpg,1,0.8761649131774902,4.340842247009277,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00008__098580__face1.jpg
9,098580.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/098580.jpg,2,0.9106890559196472,3.653374671936035,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00009__098580__face2.jpg
10,098580.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/098580.jpg,3,0.8972122073173523,2.932467460632324,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00010__098580__face3.jpg
11,111244.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 12/Part 12/111244.jpg,0,0.9223816394805908,2.280862331390381,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00011__111244__face0.jpg
12,051301.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 6/Part 6/051301.jpg,0,0.9478026032447815,4.702726364135742,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00012__051301__face0.jpg
13,100745.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/100745.jpg,0,0.9544132947921753,4.696674346923828,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00013__100745__face0.jpg
14,106399.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/106399.jpg,0,0.9385895729064941,3.794647216796875,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00014__106399__face0.jpg
15,151650.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 16/Part 16/151650.jpg,0,0.9533799886703491,3.371333122253418,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00015__151650__face0.jpg
16,163047.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 17/Part 17/163047.jpg,0,0.9391369819641113,3.79480242729187,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00016__163047__face0.jpg
17,171210.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/171210.jpg,0,0.946767270565033,4.382418632507324,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00017__171210__face0.jpg
18,172726.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/172726.jpg,0,0.9435092210769653,2.546383857727051,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00018__172726__face0.jpg
19,172858.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/172858.jpg,0,0.9370395541191101,4.996634483337402,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00019__172858__face0.jpg
20,165483.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 17/Part 17/165483.jpg,0,0.9416053295135498,5.927393436431885,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00020__165483__face0.jpg
21,170008.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/170008.jpg,0,0.941388726234436,2.6559557914733887,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00021__170008__face0.jpg
22,179052.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/179052.jpg,0,0.9427933096885681,3.267043113708496,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00022__179052__face0.jpg
23,179351.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 18/Part 18/179351.jpg,0,0.9377875924110413,5.701023101806641,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00023__179351__face0.jpg
24,009103.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 1/Part 1/009103.jpg,0,0.9327152967453003,5.430261611938477,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00024__009103__face0.jpg
25,037558.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 4/Part 4/037558.jpg,0,0.9367402791976929,5.356992721557617,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00025__037558__face0.jpg
26,079841.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 8/Part 8/079841.jpg,0,0.9345297813415527,5.363550662994385,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00026__079841__face0.jpg
27,145697.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 15/Part 15/145697.jpg,0,0.7588402628898621,10.93717098236084,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00027__145697__face0.jpg
28,145697.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 15/Part 15/145697.jpg,1,0.9516464471817017,5.8321051597595215,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00028__145697__face1.jpg
29,018203.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 2/Part 2/018203.jpg,0,0.9391061663627625,4.168185234069824,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00029__018203__face0.jpg
30,060001.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 7/Part 7/060001.jpg,0,0.9462075233459473,3.8963735103607178,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00030__060001__face0.jpg
31,079880.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 8/Part 8/079880.jpg,0,0.9415501356124878,5.459864616394043,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00031__079880__face0.jpg
32,094258.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/094258.jpg,0,0.941143810749054,4.037740707397461,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00032__094258__face0.jpg
33,018074.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 2/Part 2/018074.jpg,0,0.8951748609542847,7.529928207397461,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00033__018074__face0.jpg
34,071710.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 8/Part 8/071710.jpg,0,0.930223286151886,4.598747253417969,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00034__071710__face0.jpg
35,103260.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/103260.jpg,0,0.8750372529029846,6.721458435058594,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00035__103260__face0.jpg
36,103260.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/103260.jpg,1,0.9458440542221069,3.0068671703338623,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00036__103260__face1.jpg
37,103260.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 11/Part 11/103260.jpg,2,0.8592970967292786,3.5861363410949707,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00037__103260__face2.jpg
38,146891.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 15/Part 15/146891.jpg,0,0.9180222153663635,3.7750024795532227,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00038__146891__face0.jpg
39,046536.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 5/Part 5/046536.jpg,0,0.9330307245254517,3.3204267024993896,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00039__046536__face0.jpg
40,077955.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 8/Part 8/077955.jpg,0,0.947079598903656,2.268930435180664,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00040__077955__face0.jpg
41,092323.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 10/Part 10/092323.jpg,0,0.921087384223938,2.3307459354400635,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00041__092323__face0.jpg
42,123789.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 13/Part 13/123789.jpg,0,0.9298707246780396,4.823686122894287,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00042__123789__face0.jpg
43,190328.jpg,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/CelebA__original_wild_images/Part 20/Part 20/190328.jpg,0,0.9474637508392334,2.5931246280670166,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2026.1.0весна/24-10_FinalProject/Pipeline_stage/B3/dls_fr_task3_output_v32_500/aligned_faces/00043__190328__face0.jpg
